Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
50.2,1015555757,1,1015555757.0,1015555757.0,1015555757,1015555757,0.0,PushPop,profile_step_0
49.8,1009082587,1,1009082587.0,1009082587.0,1009082587,1009082587,0.0,PushPop,forward_pass
