Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
39.5,592343862,432,1371166.3,1370021.5,1367621,1562854,12296.2,  16   80    1,  64    1    1,ampere_sgemm_64x64_tn
20.2,303661010,864,351459.5,350625.0,349633,548034,10737.8,   8   20    4, 128    1    1,ampere_sgemm_128x64_tn
19.2,288505862,216,1335675.3,1334853.0,1333924,1485414,10378.5,   8   20    4, 128    1    1,ampere_sgemm_128x64_nn
2.7,41169445,216,190599.3,190593.0,189952,191009,120.2,   1    2   80, 256    1    1,ampere_sgemm_128x128_nn
2.6,39696549,1296,30630.1,34096.5,16704,195809,7829.5,5120    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.7,25212212,432,58361.6,58016.5,57633,212321,7427.3,   2    1 8192, 128    1    1,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)2, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
1.4,21556944,432,49900.3,50128.0,48192,52704,1193.6,10240    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.2,18576453,216,86002.1,84768.5,84321,241441,12804.2,   2    2   80, 256    1    1,ampere_sgemm_128x128_nn
1.1,15898747,432,36802.7,36800.0,35263,38241,698.8,5120    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.1,15860156,6,2643359.3,2643226.0,2643146,2643785,264.7,   8  157    1, 128    1    1,ampere_sgemm_128x64_tn
0.9,13594661,876,15519.0,15519.0,15040,16576,230.7,5120    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
