Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
11.2,368400239,432,852778.3,747587.0,744644,1373446,232094.1,CUDA_KERNEL,ampere_sgemm_64x64_tn
10.7,354178925,432,819858.6,794052.0,760196,1394406,110630.3,CUDA_KERNEL,ampere_sgemm_128x64_nt
10.4,344073050,432,796465.4,770979.0,739107,1504263,108986.4,CUDA_KERNEL,ampere_sgemm_128x32_nn
7.7,253408594,648,391062.6,282433.0,102913,1313254,285612.2,CUDA_KERNEL,ampere_sgemm_128x128_nt
6.9,226434076,432,524153.0,548338.5,199585,1337286,348375.3,CUDA_KERNEL,ampere_sgemm_128x64_nn
6.1,199767220,870,229617.5,192833.0,191425,2643788,136783.3,CUDA_KERNEL,ampere_sgemm_128x64_tn
5.5,181521759,216,840378.5,813716.0,779652,1419463,111525.0,CUDA_KERNEL,ampere_sgemm_128x32_tn
4.3,142244488,648,219513.1,212896.5,203361,374594,28149.4,CUDA_KERNEL,ampere_sgemm_64x32_sliced1x4_nt
4.3,142214989,648,219467.6,213089.0,203105,370306,27517.5,CUDA_KERNEL,ampere_sgemm_32x128_tt
2.7,87520579,3042,28770.7,44224.0,3328,216481,22383.8,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2.6,86346022,864,99937.5,106528.5,46784,279553,34836.8,CUDA_KERNEL,ampere_sgemm_128x128_nn
2.3,75568973,564,133987.5,134832.5,65024,265697,12274.2,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)1>, at::native::<unnamed>::BinaryOpScalarFunctor<float, (int)1, (int)1, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
