Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.0,936642589,33956,27584.0,7460.0,4529,90750195,860428.5,cudaLaunchKernel
27.3,639985590,684,935651.4,10275.0,3700,77503946,7266629.5,cudaStreamSynchronize
21.2,497958626,907,549017.2,277798.0,5160,78703697,4460823.9,cudaMalloc
4.5,106361098,4116,25840.9,6890.0,4210,77137039,1202226.0,cudaMemsetAsync
3.9,91576498,2,45788249.0,45788249.0,43212709,48363789,3642363.6,cudaDeviceSynchronize
1.1,25212265,1566,16099.8,14220.0,9830,194179,9395.5,cudaMemcpyAsync
1.0,24320166,4,6080041.5,7252210.0,1535379,8280367,3068379.9,cuLibraryLoadData
0.5,12610681,3733,3378.2,1430.0,600,6049644,99035.8,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.1,2242462,2,1121231.0,1121231.0,2380,2240082,1582294.3,cudaFree
0.1,2173662,6,362277.0,2725.0,1910,2160993,881187.4,cuKernelGetFunction
0.1,2081874,1,2081874.0,2081874.0,2081874,2081874,0.0,cudaGetDeviceProperties_v2_v12000
0.1,1786809,1417,1261.0,1200.0,590,25020,1092.5,cudaStreamIsCapturing_v10000
0.0,287379,810,354.8,330.0,190,1150,145.3,cuGetProcAddress_v2
0.0,73690,7,10527.1,10210.0,9640,12150,953.0,cuLaunchKernel
0.0,70269,1,70269.0,70269.0,70269,70269,0.0,cuModuleLoadData
0.0,62470,36,1735.3,665.0,560,10810,2503.4,cudaEventCreateWithFlags
0.0,20100,5,4020.0,3130.0,1400,10430,3692.4,cuLibraryGetKernel
0.0,11110,3,3703.3,2860.0,1340,6910,2879.2,cuInit
0.0,2300,3,766.7,240.0,210,1850,938.3,cuModuleGetLoadingMode
0.0,1290,2,645.0,645.0,440,850,289.9,cudaGetDriverEntryPoint_v11030
