Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.9,627524129,456,1376149.4,16974.5,9270,79309409,7207026.4,cudaStreamSynchronize
33.7,470574617,8042,58514.6,8100.0,5320,91408356,1517963.7,cudaLaunchKernel
17.8,248389323,327,759600.4,268938.0,5690,77663542,6024718.2,cudaMalloc
1.6,21863802,4,5465950.5,6770218.0,1245030,7078336,2825778.5,cuLibraryLoadData
0.6,8689098,600,14481.8,12745.0,9480,73349,6179.8,cudaMemcpyAsync
0.5,7608535,1024,7430.2,1500.0,700,5843505,182574.2,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.5,7415974,1008,7357.1,7020.0,5470,52800,2358.8,cudaMemsetAsync
0.2,2144563,1,2144563.0,2144563.0,2144563,2144563,0.0,cudaFree
0.1,2070374,1,2070374.0,2070374.0,2070374,2070374,0.0,cudaGetDeviceProperties_v2_v12000
0.1,757962,666,1138.1,1095.0,600,13810,860.5,cudaStreamIsCapturing_v10000
0.0,271977,810,335.8,260.0,180,2710,169.6,cuGetProcAddress_v2
0.0,70249,1,70249.0,70249.0,70249,70249,0.0,cuModuleLoadData
0.0,29780,2,14890.0,14890.0,10110,19670,6759.9,cudaDeviceSynchronize
0.0,25570,18,1420.6,630.0,560,9190,2121.6,cudaEventCreateWithFlags
0.0,18850,3,6283.3,2190.0,1180,15480,7980.5,cuInit
0.0,16160,4,4040.0,2005.0,1620,10530,4330.5,cuLibraryGetKernel
0.0,10710,1,10710.0,10710.0,10710,10710,0.0,cuLaunchKernel
0.0,2270,3,756.7,300.0,220,1750,861.2,cuModuleGetLoadingMode
0.0,1360,2,680.0,680.0,660,700,28.3,cudaGetDriverEntryPoint_v11030
