Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
58.1,739724218,21956,33691.2,7430.0,4610,92518983,913951.4,cudaLaunchKernel
22.0,280003896,468,598298.9,242198.0,4740,78707669,5084103.6,cudaMalloc
7.3,93010441,1050,88581.4,13610.0,8890,77148791,2380411.0,cudaMemcpyAsync
4.6,58251060,456,127743.6,9140.0,3630,16988410,1225493.6,cudaStreamSynchronize
2.9,36828478,2,18414239.0,18414239.0,18158741,18669737,361328.7,cudaDeviceSynchronize
1.9,24093386,4,6023346.5,7472443.0,1297200,7851300,3157193.3,cuLibraryLoadData
1.5,19433100,2748,7071.7,6900.0,4330,40789,2131.2,cudaMemsetAsync
0.8,10621382,2358,4504.4,1400.0,620,6550200,134902.2,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.2,2502296,295,8482.4,8099.0,7270,19710,1646.4,cuLaunchKernel
0.2,2374911,294,8077.9,830.0,670,2030014,118392.4,cuKernelGetFunction
0.2,2192703,1,2192703.0,2192703.0,2192703,2192703,0.0,cudaGetDeviceProperties_v2_v12000
0.2,2178513,2,1089256.5,1089256.5,1970,2176543,1537655.3,cudaFree
0.1,950576,810,1173.6,1105.0,600,13370,954.3,cudaStreamIsCapturing_v10000
0.0,296318,810,365.8,330.0,180,1180,155.1,cuGetProcAddress_v2
0.0,68060,1,68060.0,68060.0,68060,68060,0.0,cuModuleLoadData
0.0,57240,36,1590.0,655.0,560,15740,2764.9,cudaEventCreateWithFlags
0.0,18950,6,3158.3,2065.0,1010,9090,2957.2,cuLibraryGetKernel
0.0,9720,3,3240.0,3740.0,1210,4770,1831.9,cuInit
0.0,2170,3,723.3,230.0,220,1720,863.2,cuModuleGetLoadingMode
0.0,1330,2,665.0,665.0,550,780,162.6,cudaGetDriverEntryPoint_v11030
