Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
84.2,6016593284,912,6597141.8,17600.0,4160,77204514,17844398.4,cudaStreamSynchronize
10.7,765897550,16010,47838.7,8749.0,5520,94417991,1419585.1,cudaLaunchKernel
4.0,284133429,698,407067.9,287578.0,13500,72433981,2740716.2,cudaMalloc
0.3,23899476,4,5974869.0,7370503.0,1413789,7744681,3046316.9,cuLibraryLoadData
0.3,20189454,1200,16824.5,14320.0,10019,203928,10381.1,cudaMemcpyAsync
0.2,11096837,2032,5461.0,1690.0,770,6826197,151571.0,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.1,9616316,1,9616316.0,9616316.0,9616316,9616316,0.0,cudaGetDeviceProperties_v2_v12000
0.1,9224189,1152,8007.1,7770.0,5770,39960,2412.2,cudaMemsetAsync
0.0,3470894,2,1735447.0,1735447.0,461467,3009427,1801679.8,cudaDeviceSynchronize
0.0,2200913,1,2200913.0,2200913.0,2200913,2200913,0.0,cudaFree
0.0,1639858,1373,1194.4,1170.0,610,28400,979.4,cudaStreamIsCapturing_v10000
0.0,265138,810,327.3,310.0,190,2720,154.4,cuGetProcAddress_v2
0.0,73799,1,73799.0,73799.0,73799,73799,0.0,cuModuleLoadData
0.0,31829,18,1768.3,655.0,570,9840,2487.8,cudaEventCreateWithFlags
0.0,12080,4,3020.0,1510.0,1370,7690,3116.1,cuLibraryGetKernel
0.0,11280,1,11280.0,11280.0,11280,11280,0.0,cuLaunchKernel
0.0,9620,3,3206.7,2020.0,1200,6400,2795.7,cuInit
0.0,2430,3,810.0,530.0,230,1670,759.7,cuModuleGetLoadingMode
0.0,1210,2,605.0,605.0,450,760,219.2,cudaGetDriverEntryPoint_v11030
