Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
51.9,753544639,1,753544639.0,753544639.0,753544639,753544639,0.0,PushPop,profile_step_0
33.0,479865075,1,479865075.0,479865075.0,479865075,479865075,0.0,PushPop,forward_pass
14.2,205989272,1,205989272.0,205989272.0,205989272,205989272,0.0,PushPop,backward_pass
0.7,10758588,1,10758588.0,10758588.0,10758588,10758588,0.0,PushPop,optimizer_step
0.1,1815096,1,1815096.0,1815096.0,1815096,1815096,0.0,PushPop,zero_grad
0.0,240208,1,240208.0,240208.0,240208,240208,0.0,PushPop,loss
