Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
71.5,2388883763,684,3492520.1,16879.0,9880,87949672,13040256.6,cudaStreamSynchronize
17.8,594522117,12026,49436.4,7930.0,5320,93036352,1447388.1,cudaLaunchKernel
6.5,218034078,505,431750.6,268498.0,5770,73385934,3255133.1,cudaMalloc
2.7,91065735,900,101184.2,13330.0,9720,77091106,2569198.1,cudaMemcpyAsync
0.7,24304814,4,6076203.5,7306869.0,1343920,8347156,3193534.0,cuLibraryLoadData
0.2,8303924,1080,7688.8,7310.0,5610,65439,3365.2,cudaMemsetAsync
0.2,7153925,232,30835.9,1695.0,700,6444550,422945.5,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.1,2330932,1,2330932.0,2330932.0,2330932,2330932,0.0,cudaFree
0.1,2043664,1,2043664.0,2043664.0,2043664,2043664,0.0,cudaGetDeviceProperties_v2_v12000
0.0,1171060,1012,1157.2,1130.0,590,21090,971.3,cudaStreamIsCapturing_v10000
0.0,962933,2,481466.5,481466.5,60330,902603,595576.9,cudaDeviceSynchronize
0.0,279037,810,344.5,320.0,190,2710,156.8,cuGetProcAddress_v2
0.0,71639,1,71639.0,71639.0,71639,71639,0.0,cuModuleLoadData
0.0,26640,18,1480.0,665.0,590,9690,2208.0,cudaEventCreateWithFlags
0.0,13990,4,3497.5,1630.0,1430,9300,3870.9,cuLibraryGetKernel
0.0,11809,3,3936.3,2900.0,1160,7749,3414.6,cuInit
0.0,11290,1,11290.0,11290.0,11290,11290,0.0,cuLaunchKernel
0.0,2110,3,703.3,240.0,230,1640,811.2,cuModuleGetLoadingMode
0.0,1210,2,605.0,605.0,460,750,205.1,cudaGetDriverEntryPoint_v11030
