Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
52.8,1095845753,1,1095845753.0,1095845753.0,1095845753,1095845753,0.0,PushPop,profile_step_0
30.5,633792434,1,633792434.0,633792434.0,633792434,633792434,0.0,PushPop,forward_pass
15.0,311291794,1,311291794.0,311291794.0,311291794,311291794,0.0,PushPop,backward_pass
1.5,31881566,1,31881566.0,31881566.0,31881566,31881566,0.0,PushPop,optimizer_step
0.1,1751077,1,1751077.0,1751077.0,1751077,1751077,0.0,PushPop,zero_grad
0.0,213959,1,213959.0,213959.0,213959,213959,0.0,PushPop,loss
