Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
36.9,259490882,288,901010.0,900131.0,898756,1016612,9246.9,   8   64    2, 128    1    1,ampere_sgemm_128x64_tn
19.4,136704415,576,237334.1,236673.0,236001,396002,8654.3,   8   16    5, 128    1    1,ampere_sgemm_128x64_tn
17.7,124355300,144,863578.5,863587.0,862659,865124,536.6,   8   16    5, 128    1    1,ampere_sgemm_128x64_nn
3.9,27553316,144,191342.5,190113.0,189441,366945,14736.4,   1    2   64, 256    1    1,ampere_sgemm_128x128_nn
3.2,22660729,864,26227.7,28511.5,14976,218689,10341.0,4096    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.8,12711310,6,2118551.7,2118536.0,2118375,2118728,139.9,   8  157    1, 128    1    1,ampere_sgemm_128x64_tn
1.7,12088722,144,83949.5,83936.0,83553,84321,155.7,   2    2   64, 256    1    1,ampere_sgemm_128x128_nn
1.6,11013608,288,38241.7,38272.0,36960,40321,460.6,8192    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.4,9760517,288,33890.7,33312.0,32544,197761,9691.7,   1    1 8192, 128    1    1,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)2, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
1.3,8962909,288,31121.2,31136.0,29792,33023,710.5,4096    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.2,8228196,588,13993.5,13984.0,13215,15360,234.7,4096    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
