Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
90.1,7643104104,608,12570894.9,14930.0,6500,80525068,25318314.7,cudaStreamSynchronize
5.1,434609086,10506,41367.7,8560.0,5310,88798654,1091359.5,cudaLaunchKernel
3.7,316662635,628,504239.9,261053.0,5370,70633045,3775940.1,cudaMalloc
0.3,24512050,2,12256025.0,12256025.0,11374232,13137818,1247043.6,cudaDeviceSynchronize
0.3,23066892,4,5766723.0,7075285.5,1412099,7504222,2911732.6,cuLibraryLoadData
0.2,13908504,800,17385.6,15870.0,9830,82570,7665.6,cudaMemcpyAsync
0.1,6480615,768,8438.3,7610.0,5520,32630,3342.4,cudaMemsetAsync
0.1,6411293,192,33392.2,1585.0,810,6057194,437007.7,cuKernelGetFunction
0.1,6328091,15,421872.7,6740.0,730,6153213,1585587.1,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.0,2193103,1,2193103.0,2193103.0,2193103,2193103,0.0,cudaFree
0.0,2041054,1,2041054.0,2041054.0,2041054,2041054,0.0,cudaGetDeviceProperties_v2_v12000
0.0,1998248,193,10353.6,9730.0,8090,29459,2203.5,cuLaunchKernel
0.0,1393812,1079,1291.8,1170.0,600,53360,1823.4,cudaStreamIsCapturing_v10000
0.0,282458,810,348.7,330.0,190,1110,138.1,cuGetProcAddress_v2
0.0,70469,1,70469.0,70469.0,70469,70469,0.0,cuModuleLoadData
0.0,24420,18,1356.7,620.0,560,8060,1872.1,cudaEventCreateWithFlags
0.0,15470,5,3094.0,1710.0,1190,9140,3387.5,cuLibraryGetKernel
0.0,6780,3,2260.0,1890.0,1120,3770,1363.2,cuInit
0.0,2540,3,846.7,220.0,200,2120,1102.8,cuModuleGetLoadingMode
0.0,1260,2,630.0,630.0,430,830,282.8,cudaGetDriverEntryPoint_v11030
