Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.6,1120658640,228,4915169.5,64060.0,8279,196922986,20666563.0,cudaStreamSynchronize
40.0,1103420168,11126,99174.9,7600.0,5000,226853978,2842205.5,cudaLaunchKernel
14.7,405644822,2,202822411.0,202822411.0,202564983,203079839,364058.2,cudaDeviceSynchronize
2.2,61165822,202,302801.1,264058.0,4830,1945215,155346.2,cudaMalloc
0.9,24123595,4,6030898.8,7391658.5,1512958,7827320,3019432.1,cuLibraryLoadData
0.7,18082225,534,33861.8,14140.0,9100,233728,46795.1,cudaMemcpyAsync
0.3,8744553,6,1457425.5,3015.0,2270,8729733,3562688.6,cuKernelGetFunction
0.3,8615966,703,12256.0,1340.0,600,6537170,246755.0,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.1,2651781,312,8499.3,6559.5,3560,29889,4344.0,cudaMemsetAsync
0.1,2211073,2,1105536.5,1105536.5,3030,2208043,1559179.6,cudaFree
0.1,2035314,1,2035314.0,2035314.0,2035314,2035314,0.0,cudaGetDeviceProperties_v2_v12000
0.0,563356,376,1498.3,1190.0,610,20640,1852.4,cudaStreamIsCapturing_v10000
0.0,286070,810,353.2,310.0,180,1100,147.4,cuGetProcAddress_v2
0.0,88320,7,12617.1,12630.0,7280,21350,4656.5,cuLaunchKernel
0.0,70200,1,70200.0,70200.0,70200,70200,0.0,cuModuleLoadData
0.0,58020,36,1611.7,690.0,550,9410,2077.0,cudaEventCreateWithFlags
0.0,16550,5,3310.0,1700.0,1370,8490,3000.5,cuLibraryGetKernel
0.0,14390,3,4796.7,3200.0,1360,9830,4455.0,cuInit
0.0,2140,3,713.3,250.0,220,1670,828.6,cuModuleGetLoadingMode
0.0,1280,2,640.0,640.0,480,800,226.3,cudaGetDriverEntryPoint_v11030
