Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
14.0,64913132,222,292401.5,280720.5,265761,809955,84593.9,CUDA_KERNEL,ampere_sgemm_128x64_tn
12.5,57995927,216,268499.7,266353.0,251809,293921,8488.2,CUDA_KERNEL,ampere_sgemm_128x32_nn
9.4,43656115,216,202111.6,258225.0,74272,273857,89336.4,CUDA_KERNEL,ampere_sgemm_128x32_sliced1x4_nt
6.0,27666236,288,96063.3,96960.5,91904,99264,2172.9,CUDA_KERNEL,ampere_sgemm_32x32_sliced1x4_tn
5.2,24099578,222,108556.7,84688.0,81505,986244,143516.1,CUDA_KERNEL,ampere_sgemm_32x32_sliced1x4_tt
4.7,21647177,144,150327.6,147888.5,53664,253313,95592.8,CUDA_KERNEL,ampere_sgemm_128x128_nt
4.0,18555559,72,257716.1,259905.0,250465,266241,6607.5,CUDA_KERNEL,ampere_sgemm_128x64_nt
3.5,16318516,216,75548.7,75760.0,73056,79808,1725.4,CUDA_KERNEL,ampere_sgemm_128x32_nt
3.5,16037882,1098,14606.4,14240.0,7776,201537,11145.9,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.2,14764269,288,51264.8,53984.5,33728,212609,15550.7,CUDA_KERNEL,ampere_sgemm_128x128_nn
2.7,12727181,1050,12121.1,10143.0,9728,199969,6537.8,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
2.3,10801911,1026,10528.2,10064.0,4799,19489,5224.0,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2.3,10599173,84,126180.6,138960.5,47424,148384,32260.9,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)1>, at::native::<unnamed>::BinaryOpScalarFunctor<float, (int)1, (int)1, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
2.1,9765222,42,232505.3,256401.0,71809,281504,65968.3,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMetadata<float, (int)3>, at::native::<unnamed>::PointwiseOpScalarListFunctor<float, (int)3, (int)3, (int)0>, std::divides<float>>(T1, T2, T3...)"
1.6,7516664,42,178968.2,197792.5,58433,204769,49195.6,CUDA_KERNEL,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)3>, at::native::<unnamed>::PointwiseOpScalarFunctor<float, (int)3, (int)3, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
