Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.7,520152593,4058,128179.5,7980.0,5460,91464316,2464331.4,cudaLaunchKernel
30.5,300934965,228,1319890.2,17580.0,11500,78900202,8911839.3,cudaStreamSynchronize
8.0,78816529,504,156382.0,7150.0,5740,75155632,3347374.1,cudaMemsetAsync
4.5,44554977,144,309409.6,259633.0,5480,2178174,219810.8,cudaMalloc
2.3,22851824,4,5712956.0,7085455.0,1267661,7413253,2974580.8,cuLibraryLoadData
0.7,6748510,376,17948.2,1520.0,720,5956704,307116.8,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.4,3990939,300,13303.1,12375.0,9580,53509,3975.0,cudaMemcpyAsync
0.3,2760070,2,1380035.0,1380035.0,1115322,1644748,374360.7,cudaDeviceSynchronize
0.2,2285832,1,2285832.0,2285832.0,2285832,2285832,0.0,cudaFree
0.2,2192783,1,2192783.0,2192783.0,2192783,2192783,0.0,cudaGetDeviceProperties_v2_v12000
0.0,385188,315,1222.8,1190.0,600,15980,1028.2,cudaStreamIsCapturing_v10000
0.0,295517,810,364.8,310.0,180,8490,331.0,cuGetProcAddress_v2
0.0,72700,1,72700.0,72700.0,72700,72700,0.0,cuModuleLoadData
0.0,28169,18,1564.9,670.0,570,11059,2538.9,cudaEventCreateWithFlags
0.0,15299,4,3824.8,2015.0,1730,9539,3812.4,cuLibraryGetKernel
0.0,10510,1,10510.0,10510.0,10510,10510,0.0,cuLaunchKernel
0.0,8180,3,2726.7,2370.0,1240,4570,1693.4,cuInit
0.0,2510,3,836.7,390.0,240,1880,906.7,cuModuleGetLoadingMode
0.0,1210,2,605.0,605.0,450,760,219.2,cudaGetDriverEntryPoint_v11030
