Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
10.1,653412679,432,1512529.3,1983624.5,479682,3118701,713703.5,  64   32    1, 256    1    1,ampere_sgemm_64x32_sliced1x4_nt
9.5,617324254,720,857394.8,491586.0,490498,3225358,622659.1,  32   16    1, 128    1    1,ampere_sgemm_128x64_tn
9.4,607327877,288,2108777.4,2090745.0,1970185,3291214,112014.1,   8  128    1, 256    1    1,ampere_sgemm_128x32_nn
9.1,589566299,288,2047105.2,1818264.5,1816552,3343470,506074.2,  32   64    1, 128    1    1,ampere_sgemm_128x64_tn
4.7,303769546,288,1054755.4,1015956.5,958437,1760135,190383.5,   1    8   64, 256    1    1,ampere_sgemm_128x128_nn
4.6,298883911,144,2075582.7,1843960.0,1842728,3390542,514569.1,  32    8    5, 256    1    1,ampere_sgemm_128x128_nn
4.3,280839524,144,1950274.5,1936008.5,1812872,3030381,104447.4,  32   64    1, 128    1    1,ampere_sgemm_128x64_nt
4.1,263298041,438,601137.1,532483.0,509059,7915329,573551.6,  32   16    1, 128    1    1,ampere_sgemm_128x64_tt
4.0,257335103,576,446762.3,445986.0,410818,692419,44391.8,262144    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
3.4,222733407,432,515586.6,511538.5,488642,679363,19043.6,   8   16    9, 128    1    1,ampere_sgemm_128x64_nt
2.6,171700729,288,596183.1,595987.0,579362,713251,7214.1,131072    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
2.6,166514704,144,1156352.1,1149013.5,1098820,1264517,26671.1,   1    1 32768, 256    1    1,ampere_sgemm_128x128_nt
2.3,147743915,144,1025999.4,1018132.5,974020,1174917,27992.0,   8    1   64, 256    1    1,ampere_sgemm_128x128_nn
2.2,146085868,144,1014485.2,1004997.0,948900,1590535,54366.4,   1    8   64, 256    1    1,ampere_sgemm_128x128_nt
2.0,128761043,864,149029.0,150881.0,139649,317153,7512.4,32768    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.8,119746107,288,415785.1,406914.0,402050,548739,32323.8,262144    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.8,117880142,288,409306.0,399074.0,396386,562210,33377.6,262144    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.7,112560912,288,390836.5,390817.5,385921,395427,2074.2,131072    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.7,111527098,288,387246.9,387057.5,383426,391713,1693.8,131072    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
1.5,97854081,1878,52105.5,53217.0,26592,265505,18776.0,16384    1    1, 128    1    1,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.4,89329236,432,206780.6,206929.0,200001,275201,5069.6,4096    1    1,  32   16    1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
1.3,85963355,144,596967.7,596451.0,580546,684643,7635.3,131072    1    1, 128    1    1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.3,82141712,144,570428.6,506898.5,505218,932484,140696.0,   8    8   64, 256    1    1,ampere_sgemm_128x128_nn
