Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
57.6,776688919,1,776688919.0,776688919.0,776688919,776688919,0.0,PushPop,profile_step_0
37.9,511651393,1,511651393.0,511651393.0,511651393,511651393,0.0,PushPop,forward_pass
4.1,55842903,1,55842903.0,55842903.0,55842903,55842903,0.0,PushPop,backward_pass
0.3,3403264,1,3403264.0,3403264.0,3403264,3403264,0.0,PushPop,optimizer_step
0.1,690144,1,690144.0,690144.0,690144,690144,0.0,PushPop,zero_grad
0.0,253748,1,253748.0,253748.0,253748,253748,0.0,PushPop,loss
