Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
51.4,407919893,1,407919893.0,407919893.0,407919893,407919893,0.0,PushPop,profile_step_0
32.0,253827371,1,253827371.0,253827371.0,253827371,253827371,0.0,PushPop,forward_pass
15.3,121609641,1,121609641.0,121609641.0,121609641,121609641,0.0,PushPop,backward_pass
1.1,8650174,1,8650174.0,8650174.0,8650174,8650174,0.0,PushPop,optimizer_step
0.1,671505,1,671505.0,671505.0,671505,671505,0.0,PushPop,zero_grad
0.0,234578,1,234578.0,234578.0,234578,234578,0.0,PushPop,loss
