Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
67.2,1540634678,228,6757169.6,70484.5,9830,76001295,16993780.4,cudaStreamSynchronize
16.2,370550170,4058,91313.5,8600.0,5440,91783723,1779946.8,cudaLaunchKernel
8.3,189562814,187,1013704.9,261988.0,5430,72443192,6890061.5,cudaMalloc
6.2,143195117,2,71597558.5,71597558.5,71122742,72072375,671491.9,cudaDeviceSynchronize
1.0,23223581,4,5805895.3,7178334.5,1422719,7444193,2926906.7,cuLibraryLoadData
0.6,13845772,300,46152.6,14914.5,10260,231828,56220.2,cudaMemcpyAsync
0.3,6408591,16,400536.9,3890.0,640,6255412,1561343.0,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.1,2273342,1,2273342.0,2273342.0,2273342,2273342,0.0,cudaFree
0.1,2038325,1,2038325.0,2038325.0,2038325,2038325,0.0,cudaGetDeviceProperties_v2_v12000
0.0,776573,72,10785.7,9905.0,7690,17330,2726.1,cudaMemsetAsync
0.0,445006,358,1243.0,1150.0,610,14010,961.3,cudaStreamIsCapturing_v10000
0.0,305847,810,377.6,330.0,170,1210,174.2,cuGetProcAddress_v2
0.0,71570,1,71570.0,71570.0,71570,71570,0.0,cuModuleLoadData
0.0,25880,18,1437.8,675.0,580,8840,2034.1,cudaEventCreateWithFlags
0.0,15090,4,3772.5,1885.0,1730,9590,3879.6,cuLibraryGetKernel
0.0,10560,1,10560.0,10560.0,10560,10560,0.0,cuLaunchKernel
0.0,7600,3,2533.3,2670.0,1260,3670,1210.8,cuInit
0.0,2540,3,846.7,340.0,230,1970,974.4,cuModuleGetLoadingMode
0.0,1260,2,630.0,630.0,450,810,254.6,cudaGetDriverEntryPoint_v11030
