Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
56.6,1312044955,684,1918194.4,12640.0,3950,78756702,10556685.5,cudaStreamSynchronize
29.5,684488370,12026,56917.4,8380.0,5530,90700281,1600786.3,cudaLaunchKernel
11.2,259968100,389,668298.5,260378.0,5580,77424363,5523811.0,cudaMalloc
1.0,23811487,4,5952871.8,7226514.5,1352620,8005838,3092291.3,cuLibraryLoadData
0.5,12090911,900,13434.3,11930.0,9670,166868,7179.7,cudaMemcpyAsync
0.5,11298017,1512,7472.2,7350.0,5650,28430,1652.7,cudaMemsetAsync
0.4,9326895,1528,6104.0,1540.0,700,6681969,170916.7,cudaOccupancyMaxActiveBlocksPerMultiprocessor
0.1,2278832,1,2278832.0,2278832.0,2278832,2278832,0.0,cudaFree
0.1,2036534,1,2036534.0,2036534.0,2036534,2036534,0.0,cudaGetDeviceProperties_v2_v12000
0.0,976024,896,1089.3,1100.0,600,12330,680.5,cudaStreamIsCapturing_v10000
0.0,276507,810,341.4,310.0,180,1460,172.1,cuGetProcAddress_v2
0.0,82470,1,82470.0,82470.0,82470,82470,0.0,cuModuleLoadData
0.0,32069,18,1781.6,674.5,570,14070,3248.2,cudaEventCreateWithFlags
0.0,18920,2,9460.0,9460.0,8980,9940,678.8,cudaDeviceSynchronize
0.0,15300,4,3825.0,1695.0,1540,10370,4364.5,cuLibraryGetKernel
0.0,11470,3,3823.3,4030.0,1300,6140,2426.6,cuInit
0.0,10730,1,10730.0,10730.0,10730,10730,0.0,cuLaunchKernel
0.0,2160,3,720.0,320.0,220,1620,781.0,cuModuleGetLoadingMode
0.0,1190,2,595.0,595.0,430,760,233.3,cudaGetDriverEntryPoint_v11030
