Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
50.8,198380407,1,198380407.0,198380407.0,198380407,198380407,0.0,PushPop,profile_step_0
33.9,132264981,1,132264981.0,132264981.0,132264981,132264981,0.0,PushPop,backward_pass
14.3,55741534,1,55741534.0,55741534.0,55741534,55741534,0.0,PushPop,forward_pass
0.9,3491793,1,3491793.0,3491793.0,3491793,3491793,0.0,PushPop,optimizer_step
0.1,347358,1,347358.0,347358.0,347358,347358,0.0,PushPop,zero_grad
0.1,237788,1,237788.0,237788.0,237788,237788,0.0,PushPop,loss
