Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
15.0,458841067,432,1062132.1,1017924.0,933860,1802887,215679.2,CUDA_KERNEL,ampere_sgemm_128x32_nn
10.5,320786618,288,1113842.4,978932.0,969828,1921672,299923.2,CUDA_KERNEL,ampere_sgemm_128x32_tn
9.8,300157816,288,1042214.6,1011844.5,967971,1770599,165466.2,CUDA_KERNEL,ampere_sgemm_128x32_sliced1x4_nt
5.9,179316110,576,311312.7,273809.5,270881,659074,82460.3,CUDA_KERNEL,ampere_sgemm_32x128_tn
5.3,163282990,576,283477.4,300273.0,138817,541603,95559.3,CUDA_KERNEL,ampere_sgemm_128x128_nn
4.9,150438446,144,1044711.4,1014340.0,971075,1781223,167344.2,CUDA_KERNEL,ampere_sgemm_128x64_tn
4.8,145609176,144,1011174.8,980436.0,938756,1720999,161785.7,CUDA_KERNEL,ampere_sgemm_32x128_nt
4.2,128129232,288,444893.2,534610.5,290881,981892,150150.6,CUDA_KERNEL,ampere_sgemm_128x128_nt
4.2,128114026,432,296560.2,288337.0,272001,496802,42985.1,CUDA_KERNEL,ampere_sgemm_32x128_tt
3.7,113695319,2034,55897.4,71040.5,3103,282337,52602.5,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
3.7,113046294,432,261681.2,254160.5,243041,445314,39342.5,CUDA_KERNEL,ampere_sgemm_128x64_nt
2.2,68092520,576,118216.2,115552.0,106593,348034,19265.1,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.8,56489785,2178,25936.5,25248.0,4992,443426,18834.7,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.6,49800310,870,57241.7,32416.0,29568,289985,34741.4,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.5,45341848,1008,44982.0,17920.0,13088,227873,49448.8,CUDA_KERNEL,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1.3,40071399,2058,19471.0,14304.0,11360,201793,10836.7,CUDA_KERNEL,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
