Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
50.3,205569658,1,205569658.0,205569658.0,205569658,205569658,0.0,PushPop,profile_step_0
49.7,202900538,1,202900538.0,202900538.0,202900538,202900538,0.0,PushPop,forward_pass
