Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
54.5,486793240,1,486793240.0,486793240.0,486793240,486793240,0.0,PushPop,profile_step_0
45.5,406418839,1,406418839.0,406418839.0,406418839,406418839,0.0,PushPop,forward_pass
