Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
52.7,1818222040,1,1818222040.0,1818222040.0,1818222040,1818222040,0.0,PushPop,profile_step_0
31.0,1068675037,1,1068675037.0,1068675037.0,1068675037,1068675037,0.0,PushPop,forward_pass
14.0,481377970,1,481377970.0,481377970.0,481377970,481377970,0.0,PushPop,backward_pass
2.3,80526272,1,80526272.0,80526272.0,80526272,80526272,0.0,PushPop,optimizer_step
0.0,1489119,1,1489119.0,1489119.0,1489119,1489119,0.0,PushPop,zero_grad
0.0,307737,1,307737.0,307737.0,307737,307737,0.0,PushPop,loss
