Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
51.6,1381823395,1,1381823395.0,1381823395.0,1381823395,1381823395,0.0,PushPop,profile_step_0
48.4,1298431278,1,1298431278.0,1298431278.0,1298431278,1298431278,0.0,PushPop,forward_pass
