NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
None,None,50329,50329,0,120,63359985,527999.9,527986.0,526530,530050,709.9,ampere_sgemm_128x128_tn
None,None,50329,50329,0,240,37629670,156790.3,156321.0,155553,257889,6560.2,ampere_sgemm_128x32_tn
None,None,50329,50329,0,60,29974741,499579.0,499745.5,498146,500546,561.7,ampere_sgemm_128x64_nn
None,None,50329,50329,0,120,9685153,80709.6,80800.5,59841,101601,20765.0,ampere_sgemm_128x128_nn
None,None,50329,50329,0,480,9193241,19152.6,22592.0,8288,190592,10331.3,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
None,None,50329,50329,0,5,7974110,1594822.0,1594694.0,1594502,1595462,380.7,ampere_sgemm_128x64_tn
None,None,50329,50329,0,180,4835958,26866.4,27040.0,25440,29345,760.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
None,None,50329,50329,0,120,4057295,33810.8,33824.0,33440,34240,157.3,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)2, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
None,None,50329,50329,0,120,3236109,26967.6,27232.0,24288,29920,2043.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
None,None,50329,50329,0,250,3195946,12783.8,12768.0,12288,14144,269.2,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
None,None,50329,50329,0,185,2816339,15223.5,13472.0,12927,19520,2813.0,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)"
