mode,model_size,context_length,rc
train_step,small,128,0
train_step,small,256,0
train_step,small,512,0
train_step,small,1024,0
train_step,medium,128,0
train_step,medium,256,0
train_step,medium,512,0
train_step,medium,1024,0
train_step,large,128,0
train_step,large,256,0
train_step,large,512,0
train_step,large,1024,1
train_step,xl,128,1
train_step,xl,256,1
train_step,xl,512,1
train_step,xl,1024,1
train_step,2.7b,128,1
train_step,2.7b,256,1
train_step,2.7b,512,1
train_step,2.7b,1024,1
